ALIMENTADOR;ACCID.DEP;PROG.DEP;PROD.DEP;TOTAL DEP;ACCID.FEP;PROG.FEP;PROD.FEP;TOTAL FEP;ACCID.PENF;PROG.PENF;PROD.PENF;TOTAL PENEF;MES;año;SECCION;DEPARTAMENTO;PERIODO;axuMES;LOCAL
ACY1;0,0000;0,0138;0,0000;0,0138;0,0000;0,0144;0,0000;0,0144;0;2.943.699;0;2.943.699;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;ACY
ACY2;0,0000;0,0123;0,0000;0,0123;0,0000;0,0297;0,0000;0,0297;0;2.620.697;0;2.620.697;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;ACY
ACY3;0,0320;0,0000;0,0000;0,0320;0,0366;0,0000;0,0000;0,0366;6.851.385;0;0;6.851.385;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;ACY
ACY4;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;ACY
ACY5;0,0224;0,0000;0,0000;0,0224;0,0132;0,0000;0,0000;0,0132;4.793.813;0;0;4.793.813;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;ACY
ACY6;0,0000;0,0095;0,0145;0,0240;0,0000;0,0031;0,0107;0,0139;0;2.024.370;3.097.489;5.121.859;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;ACY
ACY7;0,0000;0,0000;0,0007;0,0007;0,0000;0,0000;0,0007;0,0007;0;0;147.178;147.178;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;ACY
ACY8;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;ACY
ACY9;0,0021;0,0000;0,0000;0,0021;0,0076;0,0000;0,0000;0,0076;442.085;0;0;442.085;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;ACY
APR10;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
APR11;0,0111;0,0030;0,0000;0,0141;0,0400;0,0009;0,0000;0,0409;2.372.800;648.098;0;3.020.898;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
APR12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
APR13;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
APR14;0,0320;0,0875;0,0000;0,1194;0,0522;0,0172;0,0000;0,0694;6.835.392;18.702.841;0;25.538.233;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
APR2;0,0064;0,0000;0,0000;0,0064;0,0278;0,0000;0,0000;0,0278;1.372.695;0;0;1.372.695;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
APR3;0,0509;0,0016;0,0000;0,0525;0,0430;0,0038;0,0000;0,0469;10.886.349;340.203;0;11.226.552;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
APR4;0,0018;0,0125;0,0000;0,0142;0,0154;0,0379;0,0000;0,0533;383.023;2.663.152;0;3.046.175;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
APR5;0,0017;0,0167;0,0000;0,0185;0,0106;0,0154;0,0000;0,0260;369.244;3.581.380;0;3.950.624;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
APR6;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
APR8;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
APR9;0,0000;0,0000;0,0001;0,0001;0,0003;0,0000;0,0003;0,0005;6.525;0;18.643;25.167;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;APR
CAT1;0,0472;0,0000;0,0000;0,0472;0,0409;0,0000;0,0000;0,0409;10.097.444;0;0;10.097.444;ENERO;2023;CATUETE;CANINDEYU;202301;01;CAT
CAT10;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CATUETE;CANINDEYU;202301;01;CAT
CAT11;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CATUETE;CANINDEYU;202301;01;CAT
CAT2;0,0099;0,0000;0,0000;0,0099;0,0135;0,0000;0,0000;0,0135;2.122.429;0;0;2.122.429;ENERO;2023;CATUETE;CANINDEYU;202301;01;CAT
CAT3;0,0283;0,0000;0,0000;0,0283;0,0487;0,0000;0,0000;0,0487;6.057.324;0;0;6.057.324;ENERO;2023;CATUETE;CANINDEYU;202301;01;CAT
CAT4;0,0080;0,0005;0,0000;0,0085;0,0219;0,0073;0,0000;0,0292;1.703.184;104.152;0;1.807.336;ENERO;2023;CATUETE;CANINDEYU;202301;01;CAT
CAT5;0,0032;0,0000;0,0000;0,0032;0,0050;0,0000;0,0000;0,0050;690.342;0;0;690.342;ENERO;2023;CATUETE;CANINDEYU;202301;01;CAT
CAT6;0,0000;0,0022;0,0000;0,0022;0,0000;0,0029;0,0000;0,0029;0;468.164;0;468.164;ENERO;2023;CATUETE;CANINDEYU;202301;01;CAT
CAT7;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CATUETE;CANINDEYU;202301;01;CAT
CAT8;0,0004;0,0000;0,0000;0,0004;0,0018;0,0000;0,0000;0,0018;94.264;0;0;94.264;ENERO;2023;CATUETE;CANINDEYU;202301;01;CAT
CAT9;0,0008;0,0020;0,0000;0,0027;0,0039;0,0039;0,0000;0,0078;167.334;418.336;0;585.671;ENERO;2023;CATUETE;CANINDEYU;202301;01;CAT
CUR1;0,0000;0,0000;0,0001;0,0001;0,0000;0,0000;0,0003;0,0003;0;0;21.754;21.754;ENERO;2023;CURUGUATY;CANINDEYU;202301;01;CUR
CUR2;0,0000;0,0000;0,0035;0,0035;0,0000;0,0000;0,0089;0,0089;0;0;757.314;757.314;ENERO;2023;CURUGUATY;CANINDEYU;202301;01;CUR
CUR3;0,0426;0,0000;0,0231;0,0656;0,0438;0,0000;0,0146;0,0584;9.099.489;0;4.939.723;14.039.212;ENERO;2023;CURUGUATY;CANINDEYU;202301;01;CUR
CUR4;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CURUGUATY;CANINDEYU;202301;01;CUR
CUR5;0,1524;0,0000;0,0062;0,1586;0,0618;0,0000;0,0154;0,0772;32.586.404;0;1.321.070;33.907.475;ENERO;2023;CURUGUATY;CANINDEYU;202301;01;CUR
DES10;0,0055;0,0018;0,0000;0,0073;0,0113;0,0009;0,0000;0,0122;1.184.583;385.174;0;1.569.757;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;DES
DES3;0,0050;0,0000;0,0000;0,0050;0,0071;0,0000;0,0000;0,0071;1.063.067;0;0;1.063.067;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;DES
DES4;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;DES
DES5;0,0171;0,0000;0,0000;0,0171;0,0240;0,0000;0,0000;0,0240;3.655.623;0;0;3.655.623;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;DES
DES8;0,0409;0,0000;0,0000;0,0409;0,0416;0,0000;0,0000;0,0416;8.741.329;0;0;8.741.329;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;DES
DES9;0,0174;0,0004;0,0000;0,0178;0,0390;0,0033;0,0000;0,0423;3.711.504;94.603;0;3.806.107;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;DES
HER1;0,0313;0,0000;0,0000;0,0313;0,0249;0,0000;0,0000;0,0249;6.697.299;0;0;6.697.299;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;HER
HER10;0,0000;0,0000;0,0018;0,0018;0,0000;0,0000;0,0111;0,0111;0;0;394.379;394.379;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;HER
HER2;0,0036;0,0000;0,0000;0,0036;0,0127;0,0000;0,0000;0,0127;769.929;0;0;769.929;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;HER
HER7;0,0044;0,0211;0,0003;0,0257;0,0016;0,0033;0,0016;0,0066;934.464;4.502.948;58.404;5.495.816;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;HER
HER8;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;HER
HER9;0,0013;0,0000;0,0004;0,0018;0,0026;0,0000;0,0026;0,0052;286.063;0;92.278;378.341;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;HER
IRY1;0,2020;0,0000;0,0000;0,2020;0,0872;0,0000;0,0000;0,0872;43.203.449;0;0;43.203.449;ENERO;2023;SAN ALBERTO;ALTO PARANÁ;202301;01;IRY
IRY2;0,0068;0,0186;0,0000;0,0255;0,0316;0,0103;0,0000;0,0418;1.462.076;3.985.841;0;5.447.917;ENERO;2023;SAN ALBERTO;ALTO PARANÁ;202301;01;IRY
IRY3;0,0748;0,0000;0,0000;0,0748;0,0434;0,0000;0,0000;0,0434;16.004.346;0;0;16.004.346;ENERO;2023;SAN ALBERTO;ALTO PARANÁ;202301;01;IRY
IRY4;0,0554;0,0095;0,0000;0,0648;0,0262;0,0044;0,0000;0,0306;11.842.462;2.025.684;0;13.868.147;ENERO;2023;SAN ALBERTO;ALTO PARANÁ;202301;01;IRY
JEP1;0,0055;0,0000;0,0009;0,0064;0,0049;0,0000;0,0025;0,0074;1.173.607;0;201.440;1.375.047;ENERO;2023;CURUGUATY;CANINDEYU;202301;01;JEP
JEP2;0,0028;0,0053;0,0012;0,0093;0,0031;0,0031;0,0031;0,0093;599.730;1.132.823;255.440;1.987.993;ENERO;2023;CURUGUATY;CANINDEYU;202301;01;JEP
JEP3;0,0288;0,0026;0,0014;0,0328;0,0148;0,0037;0,0037;0,0222;6.159.071;554.469;303.638;7.017.178;ENERO;2023;CURUGUATY;CANINDEYU;202301;01;JEP
JEP4;0,0267;0,0287;0,0052;0,0606;0,0808;0,0135;0,0135;0,1078;5.713.379;6.145.484;1.104.240;12.963.103;ENERO;2023;CURUGUATY;CANINDEYU;202301;01;JEP
JLM1;0,0066;0,0000;0,0000;0,0066;0,0133;0,0000;0,0000;0,0133;1.414.949;0;0;1.414.949;ENERO;2023;JUAN LEON MALLORQUIN;ALTO PARANÁ;202301;01;JLM
JLM2;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;JUAN LEON MALLORQUIN;ALTO PARANÁ;202301;01;JLM
JLM3;0,0400;0,0000;0,0000;0,0400;0,0321;0,0000;0,0000;0,0321;8.546.570;0;0;8.546.570;ENERO;2023;JUAN LEON MALLORQUIN;ALTO PARANÁ;202301;01;JLM
K152;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K15
K153;0,0091;0,0020;0,0000;0,0111;0,0322;0,0107;0,0000;0,0429;1.955.190;417.707;0;2.372.897;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K15
K154;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K15
K155;0,0031;0,0000;0,0000;0,0031;0,0088;0,0000;0,0000;0,0088;658.548;0;0;658.548;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K15
K156;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K15
K157;0,0030;0,0000;0,0000;0,0030;0,0131;0,0000;0,0000;0,0131;645.958;0;0;645.958;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K15
K158;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K15
K159;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K15
K301;0,0057;0,0000;0,0000;0,0057;0,0149;0,0000;0,0000;0,0149;1.222.503;0;0;1.222.503;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K30
K302;0,0000;0,0114;0,0000;0,0114;0,0000;0,0095;0,0000;0,0095;0;2.447.529;0;2.447.529;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K30
K303;0,0388;0,0120;0,0000;0,0508;0,0546;0,0109;0,0000;0,0656;8.294.031;2.569.982;0;10.864.013;ENERO;2023;JUAN LEON MALLORQUIN;ALTO PARANÁ;202301;01;K30
K304;0,0005;0,0000;0,0000;0,0005;0,0032;0,0000;0,0000;0,0032;101.448;0;0;101.448;ENERO;2023;JUAN LEON MALLORQUIN;ALTO PARANÁ;202301;01;K30
K305;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K30
K306;0,0426;0,0000;0,0000;0,0426;0,0243;0,0000;0,0000;0,0243;9.105.172;0;0;9.105.172;ENERO;2023;JUAN LEON MALLORQUIN;ALTO PARANÁ;202301;01;K30
K307;0,0283;0,0000;0,0000;0,0283;0,0044;0,0000;0,0000;0,0044;6.054.402;0;0;6.054.402;ENERO;2023;JUAN LEON MALLORQUIN;ALTO PARANÁ;202301;01;K30
K308;0,0425;0,0148;0,0000;0,0573;0,0193;0,0217;0,0000;0,0410;9.097.849;3.159.282;0;12.257.132;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;K30
MCE1;0,0016;0,0000;0,0045;0,0061;0,0135;0,0000;0,0135;0,0270;336.580;0;961.657;1.298.237;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;MCE
MCE2;0,0031;0,0018;0,0000;0,0049;0,0143;0,0071;0,0000;0,0214;661.157;381.437;0;1.042.593;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;MCE
MCE3;0,0018;0,0068;0,0000;0,0086;0,0068;0,0068;0,0000;0,0136;384.225;1.444.591;0;1.828.816;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;MCE
MCE4;0,0717;0,0000;0,0000;0,0717;0,0365;0,0000;0,0000;0,0365;15.338.105;0;0;15.338.105;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;MCE
MCE5;0,0069;0,0040;0,0000;0,0109;0,0320;0,0160;0,0000;0,0481;1.484.793;856.611;0;2.341.405;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;MCE
MCE6;0,0037;0,0000;0,0000;0,0037;0,0054;0,0000;0,0000;0,0054;782.783;0;0;782.783;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;MCE
MCE7;0,0015;0,0000;0,0000;0,0015;0,0021;0,0000;0,0000;0,0021;328.931;0;0;328.931;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;MCE
MPO1;0,1424;0,0000;0,0182;0,1605;0,1786;0,0000;0,0099;0,1885;30.443.050;0;3.889.356;34.332.406;ENERO;2023;SAN ALBERTO;ALTO PARANÁ;202301;01;MPO
MPO2;0,0415;0,0000;0,0243;0,0658;0,0663;0,0000;0,0133;0,0795;8.882.034;0;5.197.115;14.079.149;ENERO;2023;CATUETE;CANINDEYU;202301;01;MPO
MPO3;0,0593;0,0000;0,0174;0,0767;0,0949;0,0000;0,0095;0,1043;12.678.778;0;3.718.980;16.397.758;ENERO;2023;SAN ALBERTO;ALTO PARANÁ;202301;01;MPO
NAR2;0,0000;0,0000;0,0012;0,0012;0,0000;0,0000;0,0083;0,0083;0;0;266.193;266.193;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;NAR
NAR4;0,0197;0,0000;0,0014;0,0211;0,0846;0,0000;0,0093;0,0939;4.205.344;0;298.383;4.503.726;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;NAR
NAR5;0,0693;0,0066;0,0000;0,0759;0,0303;0,0042;0,0000;0,0344;14.828.219;1.411.086;0;16.239.305;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;NAR
NAR6;0,0314;0,0154;0,0019;0,0488;0,0513;0,0128;0,0128;0,0770;6.722.874;3.292.836;411.605;10.427.315;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;NAR
NAR8;0,0110;0,0000;0,0007;0,0117;0,0098;0,0000;0,0049;0,0148;2.351.065;0;157.907;2.508.973;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;NAR
PBU1;0,0081;0,0000;0,0000;0,0081;0,0181;0,0000;0,0000;0,0181;1.722.404;0;0;1.722.404;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;PBU
PBU2;0,0318;0,0000;0,0000;0,0318;0,0184;0,0000;0,0000;0,0184;6.803.075;0;0;6.803.075;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;PBU
PBU3;0,0088;0,0000;0,0000;0,0088;0,0187;0,0000;0,0000;0,0187;1.882.994;0;0;1.882.994;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;PBU
PBU4;0,0399;0,0000;0,0000;0,0399;0,0366;0,0000;0,0000;0,0366;8.531.418;0;0;8.531.418;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;PBU
PBU5;0,0023;0,0000;0,0000;0,0023;0,0082;0,0000;0,0000;0,0082;488.608;0;0;488.608;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PBU
PFO1;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO10;0,0264;0,0002;0,0000;0,0266;0,0720;0,0004;0,0000;0,0724;5.645.870;47.658;0;5.693.528;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO11;0,0121;0,0000;0,0000;0,0121;0,0467;0,0000;0,0000;0,0467;2.595.640;0;0;2.595.640;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO12;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO14;0,0028;0,0095;0,0038;0,0160;0,0094;0,0033;0,0028;0,0156;588.631;2.027.834;814.441;3.430.906;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO15;0,0033;0,0000;0,0000;0,0033;0,0029;0,0000;0,0000;0,0029;699.030;0;0;699.030;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO16;0,0022;0,0000;0,0000;0,0022;0,0076;0,0000;0,0000;0,0076;463.510;0;0;463.510;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO17;0,0017;0,0005;0,0000;0,0022;0,0033;0,0007;0,0000;0,0040;362.974;106.127;0;469.101;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO2;0,0290;0,0000;0,0000;0,0290;0,0266;0,0000;0,0000;0,0266;6.196.068;0;0;6.196.068;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO3;0,0139;0,0000;0,0000;0,0139;0,0066;0,0000;0,0000;0,0066;2.968.297;0;0;2.968.297;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO4;0,0432;0,0000;0,0000;0,0432;0,0660;0,0000;0,0000;0,0660;9.234.490;0;0;9.234.490;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO5;0,0008;0,0000;0,0000;0,0008;0,0080;0,0000;0,0000;0,0080;168.640;0;0;168.640;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO6;0,0000;0,0109;0,0000;0,0109;0,0000;0,0156;0,0000;0,0156;0;2.331.399;0;2.331.399;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO7;0,0104;0,0035;0,0000;0,0139;0,0101;0,0043;0,0000;0,0144;2.231.157;747.158;0;2.978.314;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO8;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PFO9;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202301;01;PFO
PIH1;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;PIH
PIH2;0,0334;0,0000;0,0000;0,0334;0,0453;0,0000;0,0000;0,0453;7.133.686;0;0;7.133.686;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;PIH
PIH3;0,1082;0,0034;0,0000;0,1116;0,1388;0,0061;0,0000;0,1449;23.134.031;733.152;0;23.867.184;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;PIH
PIH4;0,1689;0,0000;0,0000;0,1689;0,0839;0,0000;0,0000;0,0839;36.120.528;0;0;36.120.528;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;PIH
PIH5;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;HERNANDARIAS;ALTO PARANÁ;202301;01;PIH
SGA1;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;SALTOS DEL GUAIRA;CANINDEYU;202301;01;SGA
SGA2;0,0073;0,0000;0,0000;0,0073;0,0137;0,0000;0,0000;0,0137;1.559.770;0;0;1.559.770;ENERO;2023;SALTOS DEL GUAIRA;CANINDEYU;202301;01;SGA
SGA3;0,0001;0,0000;0,0000;0,0001;0,0004;0,0000;0,0000;0,0004;22.462;0;0;22.462;ENERO;2023;SALTOS DEL GUAIRA;CANINDEYU;202301;01;SGA
SGA4;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;ENERO;2023;SALTOS DEL GUAIRA;CANINDEYU;202301;01;SGA
SGA5;0,0001;0,0000;0,0000;0,0001;0,0006;0,0000;0,0000;0,0006;28.618;0;0;28.618;ENERO;2023;SALTOS DEL GUAIRA;CANINDEYU;202301;01;SGA
SGA6;0,0014;0,0000;0,0000;0,0014;0,0057;0,0000;0,0000;0,0057;304.396;0;0;304.396;ENERO;2023;SALTOS DEL GUAIRA;CANINDEYU;202301;01;SGA
SRI1;0,0077;0,0000;0,0000;0,0077;0,0059;0,0000;0,0000;0,0059;1.637.181;0;0;1.637.181;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;SRI
SRI2;0,0191;0,0006;0,0014;0,0211;0,0932;0,0017;0,0092;0,1041;4.082.762;136.210;295.218;4.514.190;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;SRI
SRI3;0,0061;0,0000;0,0000;0,0061;0,0050;0,0000;0,0000;0,0050;1.303.605;0;0;1.303.605;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;SRI
SRI4;0,0361;0,0155;0,0000;0,0516;0,0664;0,0095;0,0000;0,0759;7.709.496;3.319.964;0;11.029.460;ENERO;2023;SANTA RITA;ALTO PARANÁ;202301;01;SRI
ACY1;0,0000;0,0000;0,0026;0,0026;0,0000;0,0000;0,0103;0,0103;0;0;551.112;551.112;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;ACY
ACY2;0,0171;0,0000;0,0039;0,0210;0,0158;0,0000;0,0158;0,0315;3.654.204;0;843.260;4.497.464;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;ACY
ACY3;0,0043;0,0000;0,0046;0,0088;0,0366;0,0000;0,0183;0,0549;913.518;0;978.769;1.892.287;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;ACY
ACY4;0,0000;0,0000;0,0024;0,0024;0,0000;0,0000;0,0095;0,0095;0;0;506.608;506.608;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;ACY
ACY5;0,0582;0,0000;0,0033;0,0615;0,0791;0,0000;0,0132;0,0923;12.454.514;0;704.948;13.159.462;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;ACY
ACY6;0,0064;0,0000;0,0043;0,0108;0,0107;0,0000;0,0173;0,0280;1.376.662;0;924.419;2.301.080;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;ACY
ACY7;0,0000;0,0000;0,0002;0,0002;0,0000;0,0000;0,0007;0,0007;0;0;35.042;35.042;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;ACY
ACY8;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;ACY
ACY9;0,0300;0,0000;0,0019;0,0319;0,0305;0,0000;0,0076;0,0381;6.411.240;0;407.473;6.818.713;FEBRERO;2023;HERNANDARIAS;ALTO PARANÁ;202302;02;ACY
APR10;0,0000;0,0000;0,0005;0,0005;0,0000;0,0000;0,0020;0,0020;0;0;105.127;105.127;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;APR
APR11;0,0000;0,0033;0,0037;0,0069;0,0000;0,0020;0,0146;0,0166;0;700.848;782.251;1.483.099;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;APR
APR12;0,0028;0,0023;0,0039;0,0090;0,0154;0,0308;0,0154;0,0616;603.872;494.077;823.461;1.921.410;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;APR
APR13;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0;0;0;0;FEBRERO;2023;CIUDAD DEL ESTE;ALTO PARANÁ;202302;02;APR
